company_name,company_domain,company_category
HETERO LABS LIMITED,heteroworld.com,CAT A
EATON TECHNOLOGIES PRIVATE LIMITED,eaton.in,CAT A
EMIDS TECHNOLOGIES PRIVATE LIMITED,emids.com,CAT A
MY HOME INDUSTRIES PRIVATE LIMITED,myhomeindustries.com,CAT A
AVR SWARNAMAHAL JEWELRY LIMITED,avrswarnamahal.com,CAT A
VERIZON DATA SERVICES INDIA PRIVATE LIMITED,verizon.com,CAT A
VMWARE SOFTWARE INDIA PRIVATE LIMITED,vmware.com/in,CAT A
SANATHAN TEXTILES LIMITED,sanathan.com,CAT A
PARKER HANNIFIN INDIA PRIVATE LIMITED,parker.com,CAT A
OGILVY AND MATHER PRIVATE LIMITED,ogilvy.com,CAT A
BT TELECOM INDIA PRIVATE LIMITED,globalservices.bt.com/in,CAT A
KALYAN SILKS TRICHUR PRIVATE LIMITED,kalyansilks.com,CAT A
PHYSICIANS INTERACTIVE INDIA PRIVATE LIMITED,physiciansinteractive.com,CAT A
ASUS TECHNOLOGY PRIVATE LIMITED,asus.com,CAT A
PRAJ HIPURITY SYSTEMS LIMITED,prajhipurity.net,CAT A
PREMIER MEDICAL CORPORATION PRIVATE LIMITED,premiermedcorp.com,CAT A
CHLORIDE METALS LIMITED,chloridemetals.in,CAT A
CHOWGULE INDUSTRIES PRIVATE LIMITED,chowguleindustries.com,CAT A
RAPTAKOS BRETT AND COMPANY LIMITED,raptakos.com,CAT A
BUNGE INDIA PRIVATE LIMITED,bungeindia.com,CAT A
LOKMAT MEDIA PRIVATE LIMITED,lokmat.net,CAT A
LOPAREX INDIA PRIVATE LIMITED,releasepaperfilms.com,CAT A
ROOTS MULTI CLEAN LIMITED,rootsmulticlean.in,CAT A
ROULUNDS BRAKING INDIA PRIVATE LIMITED,roulunds-braking.eu,CAT A
SAMSON MARITIME LIMITED,samsonmaritime.com,CAT A
CYBERABAD CONVENTION CENTRE PRIVATE LIMITED,hicc.com,CAT A
DANBLOCK BRAKES INDIA PRIVATE LIMITED,matholdingsinc.com,CAT A
SCHINDLER INDIA PRIVATE LIMITED,india.schindler.com,CAT A
DIMEXON DIAMONDS LIMITED,dimexon.com,CAT A
ENZENE BIOSCIENCES LIMITED,enzene.com,CAT A
FLATWORLD SOLUTIONS PRIVATE LIMITED,flatworldsolutions.com,CAT A
FMI AUTOMOTIVE COMPONENTS PRIVATE LIMITED,futabasangyo.com,CAT A
AKUMS DRUGS AND PHARMACEUTICALS LIMITED,akums.in,CAT A
MEDHA SERVO DRIVES PVT LTD,medha.com,CAT A
GELTEC PRIVATE LIMITED,geltec.in,CAT A
AMEYA LOGISTICS PRIVATE LIMITED,ameyalogistics.com,CAT A
TARGET CORPORATION INDIA PRIVATE LIMITED,corporate.target.com/india/,CAT A
TATA AUTOCOMP HENDRICKSON SUSPENSIONS PRIVATE LIMITED,tacogroup.com,CAT A
APTONLINE LIMITED,aptonline.in,CAT A
THE DHAMRA PORT COMPANY LIMITED,dhamraport.com/,CAT A
IDEMITSU LUBE INDIA PRIVATE LIMITED,ilindia.idemitsu.com,CAT A
BIOSTADT INDIA LIMITED,biostadt.com,CAT A
DUROVALVES INDIA PRIVATE LIMITED,varrocgroup.com,CAT A
SAVEX TECHNOLOGIES PRIVATE LIMITED,savex.org,CAT A
BHILOSA INDUSTRIES PRIVATE LIMITED,bhilosa.com,CAT A
KHAZANA JEWELLERY PRIVATE LIMITED,khazanajewellery.com,CAT A
MAZDA COLOURS LIMITED,mazdacolours.com,CAT A
SIEGWERK INDIA PRIVATE LIMITED,siegwerk.com,CAT A
SANDOZ PRIVATE LIMITED,sandoz.com,CAT A
EWAC ALLOYS LIMITED,ewacalloys.com,CAT A
FLAMINGO PHARMACEUTICALS LIMITED,flamingopharma.com,CAT A
GHARDA CHEMICALS LIMITED,gharda.com,CAT A
GUJARAT TEA PROCESSORS AND PACKERS LIMITED,waghbakritea.com,CAT A
HLS ASIA LIMITED,hlsasia.com,CAT A
PERNOD RICARD INDIA PRIVATE LIMITED,pernod-ricard.com,CAT A
CAPARO ENGINEERING INDIA LIMITED,caparo.co.in,CAT A
SYSTOPIC LABORATORIES PRIVATE LIMITED,systopic.com,CAT A
LANXESS INDIA PRIVATE LIMITED,lanxess.in/about-lanxess-india/lanxess-india-homepage,CAT A
